trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
61,False,"{'a': 0.005, 'e': 0.7408182206817179}",25,0,-121.64879735356318,"{0: 16, 1: 3, 2: 3, 3: 1, 4: 2}",0
62,False,"{'a': 0.005, 'e': 0.7371233743916278}",25,0,-156.0502313089793,"{0: 12, 1: 4, 2: 7, 3: 0, 4: 2}",0
63,False,"{'a': 0.005, 'e': 0.7334469562242892}",20,0,-10.866172353299408,"{0: 16, 1: 1, 2: 3, 3: 0, 4: 0}",0
64,False,"{'a': 0.005, 'e': 0.7297888742690568}",20,0,-76.39910803235362,"{0: 14, 1: 1, 2: 3, 3: 1, 4: 1}",0
65,False,"{'a': 0.005, 'e': 0.7261490370736909}",20,0,-44.402033504546374,"{0: 16, 1: 1, 2: 2, 3: 0, 4: 1}",0
66,False,"{'a': 0.005, 'e': 0.7225273536420722}",20,0,-103.5396362047083,"{0: 14, 1: 2, 2: 1, 3: 1, 4: 2}",0
67,False,"{'a': 0.005, 'e': 0.7189237334319262}",20,0,-69.73891638774408,"{0: 13, 1: 3, 2: 3, 3: 0, 4: 1}",0
68,False,"{'a': 0.005, 'e': 0.7153380863525599}",20,9,-3.483227718398383,"{0: 9, 1: 1, 2: 1, 3: 0, 4: 0}",1
69,False,"{'a': 0.005, 'e': 0.7117703227626097}",20,6,-28.370147093188812,"{0: 9, 1: 1, 2: 4, 3: 0, 4: 0}",1
70,False,"{'a': 0.005, 'e': 0.7082203534678}",20,0,-92.08285344439102,"{0: 12, 1: 3, 2: 3, 3: 1, 4: 1}",0
71,False,"{'a': 0.005, 'e': 0.7046880897187134}",20,0,-39.16458245669588,"{0: 17, 1: 1, 2: 0, 3: 1, 4: 1}",0
72,False,"{'a': 0.005, 'e': 0.7011734432085724}",30,0,-19.58954672614835,"{0: 25, 1: 1, 2: 4, 3: 0, 4: 0}",0
73,False,"{'a': 0.005, 'e': 0.697676326071031}",20,0,-24.654524297855797,"{0: 16, 1: 1, 2: 2, 3: 1, 4: 0}",0
74,False,"{'a': 0.005, 'e': 0.6941966508779789}",25,0,-82.29014697330848,"{0: 16, 1: 2, 2: 5, 3: 2, 4: 0}",0
75,False,"{'a': 0.005, 'e': 0.6907343306373547}",20,0,-115.69572296827796,"{0: 15, 1: 1, 2: 1, 3: 0, 4: 3}",0
76,False,"{'a': 0.005, 'e': 0.6872892787909722}",30,0,-103.46342557426027,"{0: 15, 1: 5, 2: 10, 3: 0, 4: 0}",0
77,False,"{'a': 0.005, 'e': 0.6838614092123558}",20,0,-118.63278229857474,"{0: 12, 1: 1, 2: 5, 3: 0, 4: 2}",0
78,False,"{'a': 0.005, 'e': 0.6804506362045877}",25,12,-25.436132697821215,"{0: 9, 1: 0, 2: 4, 3: 0, 4: 0}",1
79,False,"{'a': 0.005, 'e': 0.6770568744981647}",25,0,-126.61807039272952,"{0: 17, 1: 0, 2: 5, 3: 1, 4: 2}",0
80,False,"{'a': 0.005, 'e': 0.6736800392488677}",20,9,6.058485920879985,"{0: 9, 1: 2, 2: 0, 3: 0, 4: 0}",1
81,False,"{'a': 0.005, 'e': 0.6703200460356393}",25,3,-42.3728755999903,"{0: 15, 1: 1, 2: 6, 3: 0, 4: 0}",1
82,False,"{'a': 0.005, 'e': 0.6669768108584744}",35,12,-26.982042654040296,"{0: 16, 1: 4, 2: 3, 3: 0, 4: 0}",1
83,False,"{'a': 0.005, 'e': 0.6636502501363194}",20,10,-32.95332720079766,"{0: 8, 1: 1, 2: 0, 3: 0, 4: 1}",1
84,False,"{'a': 0.005, 'e': 0.6603402807049829}",25,2,-47.296963974015206,"{0: 18, 1: 1, 2: 3, 3: 0, 4: 1}",1
85,False,"{'a': 0.005, 'e': 0.6570468198150567}",20,0,-112.00186725945838,"{0: 13, 1: 2, 2: 2, 3: 1, 4: 2}",0
86,False,"{'a': 0.005, 'e': 0.6537697851298473}",25,13,-11.899870565110223,"{0: 8, 1: 3, 2: 1, 3: 0, 4: 0}",1
87,False,"{'a': 0.005, 'e': 0.6505090947233165}",35,3,-87.14696587913038,"{0: 26, 1: 1, 2: 3, 3: 0, 4: 2}",1
